steps,success_rate,ep_reward,ep_length,actor_loss,critic_loss
358539,0.0,-0.5261451048510415,150.0,-7.201713776815505,0.022625517042885932
359589,0.3,-0.5216929827417646,150.0,-7.162552303132557,0.02230130649837
360639,0.0,-0.5520202687808445,150.0,-7.189297716731117,0.022177227637952285
361689,0.0,-0.5106797346046993,150.0,-7.183546311060588,0.02000061661115892
362739,0.1,-0.512152339730944,150.0,-7.190846209753128,0.020563904554804873
363789,0.2,-0.5150338326181684,150.0,-7.170298714864821,0.02023858501908502
364839,0.3,-0.4993802734783718,150.0,-7.134404901322865,0.021022854560453975
365889,0.0,-0.513518648488181,150.0,-7.132342712311518,0.018912441475937767
366939,0.3,-0.5300905108451843,150.0,-7.136130494390215,0.01967351102026268
367989,0.1,-0.5615328763212476,150.0,-7.1186035533178424,0.019167511265370106
369039,0.1,-0.5509050573621478,150.0,-7.109267206192016,0.01614770305121229
370089,0.0,-0.518259733915329,150.0,-7.105595690863473,0.01763477160573183
371139,0.1,-0.5172318645886013,150.0,-7.089670869736445,0.01677447079481291
372189,0.0,-0.53432149546487,150.0,-7.06850943792434,0.015189766769208723
